,Abbrev,Court,Phases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,State Supreme Court,Yes,Binding Commission,Yes,Yes,House & Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,House & Senate,,No,No,No,No,Gubernatorial Appointment,Yes ,Binding Commission,Yes,Yes,House & Senate,,No,No,No,No,Gubernatorial Appointment,No,Yes,No,No,No,No,No,No,"<p><strong> Filling an Interim Vacancy:</strong> When a seat on the Connecticut Supreme Court becomes open in the middle of a justice’s term, the governor nominates a judicial candidate from a list provided by a judicial nominating commission. The governor’s nominee must be confirmed by a majority vote of the state House and Senate. An appointed justice serves an eight-year term.</p>

<p><strong> Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the governor appoints a judicial candidate from a list provided by a judicial nominating commission. The governor’s nominee must be confirmed by a majority vote of the state House and Senate. An appointed justice serves an eight-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may stand for reappointment to additional eight-year terms in the same appointment process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 70.</p>
"
Delaware,DE,State Supreme Court,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,No,Yes,No,No,No,No,No,No,"<p><strong>Interim Selection:</strong> When a seat on the Delaware Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission. The governor’s nominee must be confirmed by a majority vote of the state Senate. An appointed justice serves a 12-year term.</p>

<p><strong>First Full Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the governor appoints a judicial candidate from a list provided by a judicial nominating commission. The governor’s nominee must be confirmed by a majority vote of the state Senate. An appointed justice serves a 12-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may stand for reappointment to additional twelve-year terms in the same appointment process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>

<p><strong>Note:</strong>The Delaware Constitution stipulates that the five-member court is required to have three justices from one major political party and two from the other.</p>
"
District of Columbia,DC,State Supreme Court,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,No,Yes,No,No,No,No,No,No,"<p><strong> Filling an Interim Vacancy:</strong> When a seat on a District of Columbia Court of Appeals becomes open in the middle of a judge’s term, the president nominates a judicial candidate from a list provided by a judicial nominating commission. The president’s nominee must be confirmed by a majority vote of the U.S. Senate. An appointed judge serves a 15-year term.</p>

<p><strong> Filling a Vacancy at the End of a Judge’s Term:</strong> When a seat becomes open at the end of a judge’s term (for example, due to retirement), the president appoints a judicial candidate from a list provided by a judicial nominating commission. The president’s nominee must be confirmed by a majority vote of the U.S. Senate. An appointed judge serves a 15-year term.</p>

<p><strong>Additional Terms:</strong> A sitting judge approaching the end of her term may stand for review by a tenure commission, which rates them “well qualified,” “qualified,” or “unqualified.” A judge rated “well qualified” has their 15-year term automatically renewed. A judge rated “qualified” may be re-nominated by the President for an additional term subject to Senate confirmation. A judge rated “unqualified” may not be reappointed.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a judge may serve but there is a mandatory retirement age of 74.</p>

"
Florida,FL,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Florida Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least one year of experience on the court, she stands in an unopposed yes/no retention vote at the time of Florida’s next general election. If retained by the voting public she serves a six-year term. She may stand for additional six-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve. There is a mandatory retirement age of 70 but a justice who has already served one half of the seat’s term is permitted to complete the remainder of the term.</p>
"
Georgia,GA,State Supreme Court,Yes,Nonbinding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,Yes,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Georgia Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The appointed justice holds office until Georgia’s next general election more than six months after she was appointed, unless the remainder of the seat’s term runs out before then. During the election, multiple candidates may vie for the seat in a nonpartisan election. The elected justice serves the remainder of the unexpired term. </p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a nonpartisan election, where multiple candidates may vie for the seat. The elected justice serves a six-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may seek additional six-year terms through participating in a nonpartisan election, where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>
"
Hawaii,HI,State Supreme Court,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Commission Reappoints,No,No,No,,No,No,No,No,Commission Reappoints,No,No,No,No,No,No,Yes,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Hawaii Supreme Court becomes open in the middle of a justice’s term, the governor nominates a judicial candidate from a list provided by a judicial selection commission. The governor’s selection must be confirmed by a majority vote of the state Senate. The appointed justice serves a 10-year term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the governor appoints a judicial candidate from a list provided by a judicial selection commission. The governor’s selection must be confirmed by a majority vote of the state Senate. The appointed justice serves a 10-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of a full term may stand for reappointment by the state’s judicial selection commission to additional 10-year terms.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 70.</p>
"
Idaho,ID,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,Yes,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Idaho Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The appointed justice holds office for the remainder of the seat’s term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a nonpartisan election, where multiple candidates may vie for the seat. The elected justice serves a six-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may seek additional six-year terms through participating in a nonpartisan election, where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>
"
Illinois,IL,State Supreme Court,No,No,No,No,No,,No,No,No,Yes,Supreme Court Appointment,No,No,No,No,No,,No,Yes,Partisan,No,Partisan Elections,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,No,No,No,Yes,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Illinois Supreme Court becomes open in the middle of a justice’s term, the remaining justices of the court appoint a judicial candidate to the empty seat on the bench. The appointed justice holds office until the next general election more than 60 months after she was appointed, unless the remainder of the seat’s term runs out before then. During the election, multiple candidates may vie for the seat in a partisan election. The elected justice serves a 10-year term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the vacancy is filled through a partisan election, where multiple candidates may vie for the seat. The elected justice serves a 10-year term.</p>

<p><strong>Additional Terms:</strong> An elected justice approaching the end of a full term may seek additional 10-year terms through standing in an unopposed yes/no retention vote.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>
"
Indiana,IN,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Indiana Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least three years of experience on the court, she stands in an unopposed yes/no retention vote at the time of Indiana’s next general election. If retained by the voting public she serves a 10-year term. She may stand for additional 10-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 75.</p>
"
Iowa,IA,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Iowa Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least one year of experience on the court, she stands in an unopposed yes/no retention vote at the time of Iowa’s next general election. If retained by the voting public she serves an eight-year term. She may stand for additional eight-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 72.</p>
"
Kansas,KS,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Kansas Supreme Court opens up in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least one year of experience on the court, she stands in an unopposed yes/no retention vote at the time of Kansas’s next general election. If retained by the voting public she serves a six-year term. She may stand for additional six-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve; however, a justice may not be appointed or re-elected after turning 75.</p>

"
Kentucky,KY,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,Yes,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong>  When a seat on the Kentucky Supreme Court opens up in the middle of a justice's term, the governor appoints a judge from a list provided by a judicial nominating commission. The appointed justice holds office until Kentucky’s next general election more than three months after she was appointed, unless the remainder of the seat’s term runs out before then. During the election, multiple candidates may vie for the seat in a nonpartisan election. The elected justice serves the remainder of the unexpired term. </p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a nonpartisan election, where multiple candidates may vie for the seat. The elected justice serves an eight-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may seek additional eight-year terms through participating in a nonpartisan election, where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>
"
Louisiana,LA,State Supreme Court,No,No,No,No,No,,No,Yes,Partisan,Yes,Hybrid,No,No,No,No,No,,No,Yes,Partisan,No,Partisan Elections,No,No,No,No,No,,No,Yes,Partisan,No,Partisan Elections,No,No,No,Yes,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Louisiana Supreme Court becomes open in the middle of a justice’s term, the remaining justices of the court appoint a judicial candidate to the empty seat on the bench. Within a year, the governor calls a special election to fill the seat. The judge appointed in the interim by the supreme court may not run in the special election. During the special election, multiple candidates may vie for the seat in a partisan election. The elected justice serves a 10-year term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a partisan election, where multiple candidates may vie for the seat. The elected justice serves an 10-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may seek additional 10-year terms through participating in a partisan election, where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve; however, a justice may not be appointed or elected after turning 70.</p>
"
Maine,ME,State Supreme Court,Yes,Nonbinding Commission,Yes,Yes,Joint Committee,,No,No,No,No,Gubernatorial Appointment,Yes,Nonbinding Commission,Yes,Yes,Joint Committee,,No,No,No,No,Gubernatorial Appointment,Yes,Nonbinding Commission,Yes,Yes,Joint Committee,,No,No,No,No,Gubernatorial Appointment,No,Yes,No,No,No,No,No,No,"<p><strong> Filling an Interim Vacancy:</strong> When a seat on the Maine Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by joint legislative committee recommendation, subject to the ability of the Senate to override the committee recommendation by a 2/3 vote. An appointed justice serves a seven-year term.</p>

<p><strong> Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the governor appoints a judicial candidate to the empty seat on the bench. The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by a majority vote of the state Senate. An appointed justice serves a seven-year term.</p>

<p><strong>Additional Terms:</strong> A sitting justice approaching the end of her term may stand for reappointment to additional seven-year terms in the same appointment process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>

"
Maryland,MD,State Supreme Court,Yes,Nonbinding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,Yes,Nonbinding Commission,Yes,Yes,Senate,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,No,No,No,No,No,No,Yes,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Maryland Court of Appeals (the state’s highest court) becomes open in the middle of a judge’s term, the governor appoints a judicial candidate to the empty seat on the bench.  The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by a majority vote of the state Senate.</p>

<p><strong>Filling a Vacancy at the End of a Judge’s Term:</strong> When a seat becomes open at the end of a judge’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate to the empty seat on the bench.  The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by a majority vote of the state Senate.</p>

<p><strong>Additional Terms:</strong> Once an appointed judge has at least one year of experience on the court, she stands in an unopposed yes/no retention vote at the time of Maryland’s next general election. If retained by the voting public she serves a 10-year term. She may stand for additional 10-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a judge may serve but there is a mandatory retirement age of 70.</p>
"
Massachusetts,MA,State Supreme Court,Yes,Nonbinding Commission,Yes,Yes,,Governor's Council,No,No,No,No,Gubernatorial Appointment,Yes,Nonbinding Commission,Yes,Yes,,Governor's Council,No,No,No,No,Gubernatorial Appointment,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,"<p><strong> Filling an Interim Vacancy:</strong> When a seat on the Massachusetts Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by a majority vote of the Governor’s Council, consisting of elected district representatives and the lieutenant governor.  An appointed justice serves a single term until mandatory retirement at age 70.</p>

<p><strong> Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the governor appoints a judicial candidate to the empty seat on the bench. The governor receives a list of candidates vetted and recommended by the judicial nominating commission but is not required to select a candidate from the list. The governor’s nominee must be confirmed by a majority vote of the Governor’s Council, consisting of elected district representatives and the lieutenant governor. An appointed justice serves a single term until mandatory retirement at age 70.</p>

<p><strong>Additional Terms:</strong> Not applicable. Justices serve a single term.</p>

<p><strong>Age/Term Limits:</strong> Justices are appointed for a single term with a mandatory retirement age of 70.</p>

"
Michigan,MI,State Supreme Court,No,No,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,Yes,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Michigan Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The appointed justice holds office until Michigan’s next general election. During the election, multiple candidates may vie for the seat in a nonpartisan election (though candidates may be nominated at political party conventions). The elected justice serves the remainder of the unexpired term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a nonpartisan election (though candidates may be nominated at political party conventions), where multiple candidates may vie for the seat. The elected justice serves an eight-year term.</p>

<p><strong>Additional Terms:</strong>  A sitting justice approaching the end of her term may seek additional eight-year terms through participating in a nonpartisan election (though candidates may be nominated at political party conventions), where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve; however, a justice may not be appointed or elected after turning 70.</p>

"
